scenario,method,quantity,horizon,datasets,defined_targets,available,finite_estimates,rmse,bias,covered,coverage,coverage_lower,coverage_upper,median_width,width_available,width_missing,empty_sets,unbounded,diagnostics_passed
smooth,longbet_direct,itt_d,1,100,100,100,100,0.05315226217384435,-0.015493602231633588,86,0.86,0.7786281178903616,0.9147365634006086,0.14734204111007324,100,0,0,0,98
smooth,longbet_direct,itt_d,2,100,100,100,100,0.05206603600460048,-0.011057379976040354,86,0.86,0.7786281178903616,0.9147365634006086,0.14483852011201984,100,0,0,0,98
smooth,longbet_direct,itt_d,3,100,100,100,100,0.052083317552704206,-0.01104880101281079,86,0.86,0.7786281178903616,0.9147365634006086,0.1453080939908288,100,0,0,0,98
smooth,longbet_direct,itt_d,4,100,100,100,100,0.053194636768866675,-0.015756877811762694,87,0.87,0.7901964855992357,0.9224283257275948,0.1472683770873716,100,0,0,0,98
smooth,longbet_direct,wald,1,100,100,100,100,0.3922157392121009,-0.04699998620778736,99,0.99,0.9455138038212946,0.9982325679358593,1.9384652181239743,100,0,0,0,99
smooth,longbet_direct,wald,2,100,100,100,100,0.431028603515872,-0.03450142360485799,98,0.98,0.929988209271456,0.9944980324498376,1.9825600685855083,100,0,0,0,97
smooth,longbet_direct,wald,3,100,100,100,100,0.3922485615485396,-0.029364624259961006,100,1.0,0.9630065017930143,1.0,2.0143096445778,100,0,0,0,96
smooth,longbet_direct,wald,4,100,100,100,100,0.47685615347949784,0.005806196675566046,98,0.98,0.929988209271456,0.9944980324498376,2.116829372857124,100,0,0,0,95
abrupt,unadjusted,itt_y,1,100,100,100,100,0.6041647989060612,0.07653973446009672,98,0.98,0.929988209271456,0.9944980324498376,2.5462582475547464,100,0,0,0,100
abrupt,unadjusted,itt_y,2,100,100,100,100,0.7414881912471222,0.07904041183088185,99,0.99,0.9455138038212946,0.9982325679358593,3.24812200954865,100,0,0,0,100
abrupt,unadjusted,itt_y,3,100,100,100,100,0.6690237242449415,0.054007555380914625,96,0.96,0.9016292856411208,0.9843366960084523,2.8803090335985257,100,0,0,0,100
abrupt,unadjusted,itt_y,4,100,100,100,100,0.8449478289685697,0.0984688729241957,97,0.97,0.9154806357094724,0.9897454759759611,3.5747932948661725,100,0,0,0,100
abrupt,unadjusted,itt_d,1,100,100,100,100,0.05229125165837972,-0.0010000000000000469,98,0.98,0.929988209271456,0.9944980324498376,0.25621315809097367,100,0,0,0,100
abrupt,unadjusted,itt_d,2,100,100,100,100,0.05229125165837972,-0.0010000000000000469,98,0.98,0.929988209271456,0.9944980324498376,0.25621315809097367,100,0,0,0,100
abrupt,unadjusted,itt_d,3,100,100,100,100,0.05229125165837972,-0.0010000000000000469,98,0.98,0.929988209271456,0.9944980324498376,0.25621315809097367,100,0,0,0,100
abrupt,unadjusted,itt_d,4,100,100,100,100,0.05229125165837972,-0.0010000000000000469,98,0.98,0.929988209271456,0.9944980324498376,0.25621315809097367,100,0,0,0,100
abrupt,unadjusted,wald,1,100,100,100,100,1.152428777268346,0.056833003092944576,98,0.98,0.929988209271456,0.9944980324498376,4.623825491605011,100,0,0,0,100
abrupt,unadjusted,wald,2,100,100,100,100,1.1805301825637875,0.06475886304665661,99,0.99,0.9455138038212946,0.9982325679358593,5.039196473521424,100,0,0,0,100
abrupt,unadjusted,wald,3,100,100,100,100,1.2757410609232585,0.007232104103376085,96,0.96,0.9016292856411208,0.9843366960084523,5.348274951151328,100,0,0,0,100
abrupt,unadjusted,wald,4,100,100,100,100,1.3617247483774784,0.08940811426422555,96,0.96,0.9016292856411208,0.9843366960084523,5.683426464868163,100,0,0,0,100
abrupt,linear_ancova,itt_y,1,100,100,100,100,0.24940435386058155,0.025942405092276837,88,0.88,0.8018790057328857,0.9300059356298052,0.8365015044643038,100,0,0,0,100
abrupt,linear_ancova,itt_y,2,100,100,100,100,0.26467829307670415,0.016899334268078832,95,0.95,0.8882495307680808,0.9784563208456319,1.1077654142922655,100,0,0,0,100
abrupt,linear_ancova,itt_y,3,100,100,100,100,0.24682962101543035,-0.012845310593833214,94,0.94,0.8752318455410406,0.9722138760368118,0.9810833994138092,100,0,0,0,100
abrupt,linear_ancova,itt_y,4,100,100,100,100,0.30970284736683773,0.025101254888604468,96,0.96,0.9016292856411208,0.9843366960084523,1.2389466723350915,100,0,0,0,100
abrupt,linear_ancova,itt_d,1,100,100,100,100,0.030359935085740655,-0.0012868490966510587,99,0.99,0.9455138038212946,0.9982325679358593,0.18940900217381385,100,0,0,0,100
abrupt,linear_ancova,itt_d,2,100,100,100,100,0.030359935085740655,-0.0012868490966510587,99,0.99,0.9455138038212946,0.9982325679358593,0.18940900217381385,100,0,0,0,100
abrupt,linear_ancova,itt_d,3,100,100,100,100,0.030359935085740655,-0.0012868490966510587,99,0.99,0.9455138038212946,0.9982325679358593,0.18940900217381385,100,0,0,0,100
abrupt,linear_ancova,itt_d,4,100,100,100,100,0.030359935085740655,-0.0012868490966510587,99,0.99,0.9455138038212946,0.9982325679358593,0.18940900217381385,100,0,0,0,100
abrupt,linear_ancova,wald,1,100,100,100,100,0.4573962724167244,0.045309792921945945,88,0.88,0.8018790057328857,0.9300059356298052,1.5427789612934792,100,0,0,0,100
abrupt,linear_ancova,wald,2,100,100,100,100,0.44320374010529323,0.036337929190030184,90,0.9,0.8256343384950865,0.9447708629393249,1.6718177844344162,100,0,0,0,100
abrupt,linear_ancova,wald,3,100,100,100,100,0.44737887276995053,-0.02354489362470861,94,0.94,0.8752318455410406,0.9722138760368118,1.82846398471285,100,0,0,0,100
abrupt,linear_ancova,wald,4,100,100,100,100,0.5260057928044215,0.049633399603955776,94,0.94,0.8752318455410406,0.9722138760368118,2.0215258535400586,100,0,0,0,100
abrupt,spline_ancova,itt_y,1,100,100,100,100,0.22620295673897553,0.016904080713789963,93,0.93,0.8625048526092651,0.9656807389327273,0.821712950026214,100,0,0,0,100
abrupt,spline_ancova,itt_y,2,100,100,100,100,0.25393915405415984,-0.004787954805610226,97,0.97,0.9154806357094724,0.9897454759759611,1.074666729607543,100,0,0,0,100
